[REGIONS]
; - FACA_ACC_West
FACA_ACC_West 0 S036.59.59.972 E022.25.41.956
S033.25.22.621 E022.22.00.235
S033.19.30.680 E022.24.26.586
S032.54.48.038 E022.33.35.557
S031.19.48.978 E023.45.58.019
S030.30.24.999 E021.16.21.043
S030.30.01.095 E014.59.59.605
S036.59.45.878 E015.00.07.616
; - FACA_ACC_East
FACA_ACC_East 0 S036.59.55.340 E028.00.11.294
S033.00.00.009 E032.00.00.810
S031.36.31.608 E029.31.11.842
S030.28.25.193 E028.17.17.983
S030.55.44.834 E025.59.53.351
S031.19.48.952 E023.45.58.097
S032.54.47.074 E022.33.37.181
S033.19.31.010 E022.24.26.520
S033.25.22.754 E022.22.00.301
S036.59.59.972 E022.25.41.956
; - FACA_ACC_East_1_(Upper)
FACA_ACC_East_1__Upper_ 65535 S031.43.55.006 E029.43.57.377
S031.36.32.036 E029.31.11.451
S031.29.17.296 E029.23.12.846
S030.28.25.573 E028.17.17.785
S030.31.35.852 E028.02.00.601
S031.17.53.979 E027.40.12.874
S031.52.18.425 E027.42.23.029
S031.52.02.400 E027.47.51.562
S031.52.11.936 E027.55.02.284
S031.52.53.409 E028.02.13.057
S031.54.07.591 E028.09.15.687
S031.55.49.744 E028.16.11.495
S031.58.00.983 E028.22.55.989
S032.00.41.500 E028.29.23.640
S032.03.52.613 E028.35.34.821
S032.07.29.574 E028.41.26.436
S032.11.27.712 E028.46.53.643
S032.15.52.844 E028.51.56.618
S032.20.37.227 E028.56.29.818
S032.25.49.803 E029.00.36.202
S032.30.59.880 E029.04.07.682
S032.36.27.732 E029.07.07.131
S032.42.11.931 E029.09.34.965
S032.48.21.284 E029.11.19.239
S032.54.10.360 E029.12.03.164
; - FACA_ACC_East_1_(Lower)
FACA_ACC_East_1__Lower_ 65535 S031.43.55.006 E029.43.57.377
S031.36.32.036 E029.31.11.451
S031.29.17.296 E029.23.12.846
S030.28.25.573 E028.17.17.785
S030.31.35.852 E028.02.00.601
S031.17.53.979 E027.40.12.874
S031.52.18.425 E027.42.23.029
S031.52.02.400 E027.47.51.562
S031.52.11.936 E027.55.02.284
S031.52.53.409 E028.02.13.057
S031.54.07.591 E028.09.15.687
S031.55.49.744 E028.16.11.495
S031.58.00.983 E028.22.55.989
S032.00.41.500 E028.29.23.640
S032.03.52.613 E028.35.34.821
S032.07.29.574 E028.41.26.436
S032.11.27.712 E028.46.53.643
S032.15.52.844 E028.51.56.618
S032.20.37.227 E028.56.29.818
S032.25.49.803 E029.00.36.202
S032.30.59.880 E029.04.07.682
S032.36.27.732 E029.07.07.131
S032.42.11.931 E029.09.34.965
