[REGIONS]
; - FABE_CTR
S032.45.53.519 E027.28.14.749
S032.45.32.355 E027.27.43.426
S032.45.13.484 E027.27.10.040
S032.44.56.992 E027.26.35.328
S032.44.44.384 E027.25.56.495
S032.44.33.874 E027.25.17.827
S032.44.26.529 E027.24.38.491
S032.44.20.360 E027.23.58.801
S032.44.18.863 E027.23.18.109
S032.44.19.626 E027.22.37.475
S032.44.24.267 E027.21.57.515
S032.44.31.338 E027.21.17.597
S032.44.41.031 E027.20.38.249
S032.44.53.676 E027.20.01.012
S032.45.09.460 E027.19.25.197
S032.45.23.889 E027.18.56.575
S032.52.13.031 E027.06.42.415
S032.52.34.294 E027.06.07.436
S032.52.56.863 E027.05.37.245
S032.53.20.929 E027.05.08.683
S032.53.46.726 E027.04.42.490
S032.54.15.957 E027.04.20.579
S032.54.45.729 E027.04.00.436
S032.55.16.612 E027.03.44.118
S032.55.48.400 E027.03.30.623
S032.56.22.098 E027.03.21.367
S032.56.55.691 E027.03.14.756
S032.57.29.855 E027.03.12.094
S032.58.03.775 E027.03.12.570
S032.58.37.831 E027.03.17.506
S032.59.11.330 E027.03.25.007
S032.59.43.919 E027.03.35.902
S033.00.15.749 E027.03.50.630
S033.00.46.587 E027.04.08.258
S033.01.15.798 E027.04.29.816
S033.01.43.388 E027.04.51.890
S033.02.09.538 E027.05.19.978
S033.02.32.761 E027.05.49.755
S033.02.54.288 E027.06.21.256
S033.03.13.349 E027.06.55.125
S033.03.29.615 E027.07.30.518
S033.03.43.830 E027.08.07.457
S033.03.54.942 E027.08.45.548
S033.04.03.036 E027.09.25.095
S033.04.08.376 E027.10.05.197
S033.04.09.625 E027.10.25.000
S032.59.45.322 E027.22.10.160
S032.58.41.739 E027.22.20.917
S032.56.44.468 E027.22.49.367
S032.54.49.255 E027.23.30.054
S032.52.57.755 E027.24.23.238
S032.51.09.731 E027.25.25.814
S032.49.27.286 E027.26.39.639
S032.47.50.434 E027.28.03.880
S032.46.42.186 E027.29.10.475
S032.46.16.456 E027.28.45.135
; - FABL_CTR
FABL_CTR 16711680 
S029.20.25.140 E026.13.00.397
S029.20.45.039 E026.14.27.777
S029.20.57.932 E026.15.57.042
S029.21.04.175 E026.17.27.061
S029.21.03.537 E026.18.56.951
S029.20.56.203 E026.20.25.590
S029.20.41.584 E026.21.54.300
S029.20.20.469 E026.23.21.427
S029.20.10.156 E026.23.52.477
