[REGIONS]
; - FAJO_FIR
FAJO_FIR 65535 
S089.51.56.280 E069.54.55.527
S045.01.32.866 E074.51.49.286
S044.59.14.430 E056.57.58.931
S029.59.26.962 E057.03.48.575
S030.01.00.098 E040.01.40.677
S027.49.55.858 E035.00.09.218
S032.59.59.857 E032.00.08.944
S036.59.55.113 E028.00.16.522
S037.00.02.802 E021.59.59.544
S036.59.46.567 E015.00.10.156
S030.30.02.223 E015.00.00.244
S027.29.47.148 E014.59.59.616
S027.30.06.108 E009.59.34.494
S017.59.51.753 E009.59.58.653
S017.59.52.283 W005.00.21.407
S019.59.29.247 W010.01.13.816
S089.58.03.836 W034.13.13.906

