; - FAJA_FIR
FAJA_FIR 255 
S026.51.22.671 E032.55.16.887
S026.53.39.651 E032.23.23.754
S026.49.52.669 E032.13.05.795
S026.51.35.802 E032.10.49.857
S026.48.49.575 E032.04.49.047
S027.20.49.138 E031.51.40.000
S027.19.00.967 E031.11.17.837
S027.08.46.805 E031.02.28.867
S027.00.07.411 E030.55.39.930
S026.53.27.345 E030.49.27.570
S026.37.59.861 E030.44.50.430
S025.55.02.455 E030.45.54.808
S025.53.17.670 E031.07.33.834
S025.43.33.157 E031.16.47.924
S025.41.47.558 E031.22.33.713
S025.50.01.664 E031.36.25.605
S025.57.09.812 E031.58.34.209
S025.50.10.525 E031.55.50.937
S025.41.26.275 E031.58.45.614
S025.38.37.667 E032.00.15.526
S025.31.34.621 E031.59.51.685
S025.32.00.674 E031.57.55.289
S025.27.40.320 E031.58.12.101
S025.23.00.122 E032.00.05.367
S025.07.04.868 E032.02.21.516
S024.57.54.069 E032.01.32.215
S024.42.21.762 E031.59.30.525
S024.27.22.519 E032.00.58.836
S024.18.54.208 E031.59.18.134
S024.11.01.435 E031.54.17.205
S023.57.06.412 E031.53.01.141
S023.53.08.862 E031.45.56.705
S023.43.13.452 E031.41.43.943
S023.37.44.414 E031.41.37.671
S023.29.09.008 E031.33.29.173
S023.22.21.852 E031.32.37.849
S023.10.49.995 E031.33.57.491
S022.24.54.212 E031.18.04.527
S022.22.02.669 E031.16.53.198
S022.21.33.031 E031.15.20.693
S022.21.38.016 E031.15.02.877
S022.21.40.594 E031.14.58.566
S022.22.16.000 E031.13.12.062
S022.20.42.628 E031.11.41.112
S022.19.58.526 E031.09.48.881
S022.20.18.448 E031.07.20.894
S022.20.54.733 E031.05.56.013
S022.20.55.204 E031.04.00.175
S022.20.53.181 E031.03.58.777
S022.20.39.013 E031.03.48.983
S022.19.42.664 E031.02.05.861
S022.19.11.778 E031.00.58.298
S022.19.29.561 E030.59.13.622
S022.18.49.827 E030.57.54.113
S022.18.13.523 E030.56.23.591
S022.18.14.795 E030.56.21.450
S022.17.49.752 E030.54.36.664
S022.18.18.797 E030.53.28.814
S022.18.21.179 E030.53.15.313
S022.18.30.851 E030.53.03.779
S022.17.35.460 E030.51.50.259
S022.17.28.448 E030.50.02.727
S022.17.56.450 E030.47.59.222
S022.18.01.592 E030.47.50.576
S022.18.18.327 E030.45.17.997
S022.18.53.673 E030.43.16.163
S022.18.58.816 E030.43.07.506
S022.18.54.659 E030.41.57.686
S022.19.01.289 E030.41.56.133
S022.18.00.067 E030.40.55.870
S022.17.57.446 E030.40.50.939
S022.18.30.490 E030.39.20.898
S022.19.29.168 E030.38.48.193
S022.19.50.591 E030.37.33.420
S022.18.50.598 E030.36.14.320
S022.18.42.226 E030.34.53.376
S022.18.47.335 E030.34.44.752
S022.19.42.246 E030.34.18.552
S022.19.44.276 E030.34.19.889
S022.19.42.409 E030.32.47.975
S022.19.40.712 E030.32.31.780
S022.19.38.326 E030.31.14.764
S022.19.42.723 E030.31.02.592
S022.18.47.348 E030.29.24.961
S022.19.38.131 E030.28.13.437
S022.20.38.463 E030.25.24.967
S022.20.34.284 E030.23.36.357
S022.20.47.691 E030.21.13.598
S022.20.48.964 E030.21.11.431
S022.21.23.185 E030.17.36.420
S022.19.52.492 E030.15.45.665
S022.18.26.940 E030.14.56.487
S022.17.25.867 E030.13.43.781
S022.17.25.699 E030.11.30.791
S022.17.34.612 E030.11.15.679
S022.17.38.423 E030.11.09.210
S022.18.24.108 E030.09.03.642
S022.17.45.562 E030.07.12.629
S022.16.45.856 E030.05.47.013
S022.15.51.147 E030.02.53.758
S022.14.21.154 E030.00.54.296
S022.12.36.226 E029.58.17.608
S022.11.44.265 E029.56.22.218
S022.11.26.145 E029.54.49.440
S022.11.23.931 E029.53.17.961
S022.10.38.376 E029.51.44.004
S022.10.06.780 E029.50.28.718
S022.09.57.555 E029.49.13.366
S022.09.53.737 E029.48.55.810
S022.09.00.331 E029.47.52.894
S022.08.31.846 E029.46.36.340
S022.08.52.329 E029.44.49.274
S022.08.39.721 E029.43.06.375
S022.07.53.483 E029.41.33.306
S022.07.37.203 E029.39.46.968
S022.07.43.523 E029.39.36.170
S022.08.34.353 E029.38.42.873
S022.08.58.062 E029.37.04.763
S022.08.48.916 E029.35.58.755
S022.08.37.474 E029.34.18.096
S022.09.18.969 E029.33.21.560
S022.09.20.234 E029.33.19.396
S022.10.15.713 E029.31.59.027
S022.10.20.722 E029.31.50.398
S022.10.09.188 E029.30.48.425
S022.09.47.734 E029.29.00.635
S022.09.42.884 E029.28.54.403
S022.10.10.026 E029.27.29.554
S022.10.48.641 E029.25.35.196
S022.11.38.980 E029.22.32.846
S022.11.41.236 E029.20.04.616
S022.11.38.775 E029.17.15.080
S022.10.57.710 E029.15.50.777
S022.10.44.055 E029.13.53.462
S022.10.49.095 E029.13.44.780
S022.11.10.997 E029.11.58.916
S022.11.13.525 E029.11.54.571
S022.12.00.722 E029.10.04.291
S022.12.34.194 E029.08.22.911
S022.12.50.136 E029.06.17.598
S022.12.58.036 E029.04.06.612
S022.12.53.322 E029.02.01.998
S022.14.07.352 E029.01.02.885
S022.15.56.120 E029.00.12.422
S022.17.35.205 E028.58.54.322
S022.18.57.190 E028.57.45.908
S022.20.26.827 E028.58.02.344
S022.21.43.816 E028.58.25.379
S022.24.13.228 E028.57.11.372
S022.26.09.316 E028.56.20.459
S022.27.24.077 E028.55.03.283
S022.26.50.273 E028.52.59.446
S022.28.01.919 E028.50.35.996
S022.28.05.653 E028.50.29.521
S022.29.08.390 E028.49.53.204
S022.29.47.754 E028.48.15.699
S022.29.58.182 E028.45.40.317
S022.30.46.431 E028.42.53.224
S022.32.10.682 E028.41.26.657
S022.32.18.640 E028.40.04.373
S022.33.02.317 E028.38.53.660
S022.33.47.140 E028.34.48.911
S022.34.45.725 E028.32.28.032
S022.35.30.827 E028.30.54.925
S022.35.02.013 E028.30.27.297
S022.34.10.672 E028.28.27.228
S022.34.33.671 E028.24.21.766
S022.34.16.683 E028.20.40.655
S022.36.20.423 E028.18.52.843
S022.36.43.273 E028.16.34.490
S022.38.53.059 E028.15.15.214
S022.39.56.260 E028.12.20.436
S022.42.21.929 E028.10.18.160
S022.43.25.840 E028.09.39.861
S022.45.33.357 E028.09.33.971
S022.46.58.836 E028.08.08.560
S022.48.17.806 E028.05.44.757
S022.49.39.802 E028.02.55.715
S022.50.26.008 E028.02.29.088
S022.52.04.441 E028.02.49.519
S022.53.23.625 E028.02.24.014
S022.55.26.289 E028.01.06.374
S022.56.51.883 E027.58.35.658
S022.57.37.869 E027.56.05.081
S023.00.14.057 E027.56.13.510
S023.02.25.471 E027.56.25.381
S023.03.08.837 E027.55.23.708
S023.03.16.640 E027.55.19.856
S023.05.16.072 E027.53.08.310
S023.06.05.490 E027.51.01.191
S023.06.23.048 E027.48.50.526
S023.07.26.222 E027.49.03.000
S023.08.15.424 E027.48.20.552
S023.08.18.690 E027.48.19.739
S023.08.33.852 E027.47.08.026
S023.08.13.251 E027.45.50.240
S023.08.16.968 E027.45.43.650
S023.10.13.380 E027.46.35.738
S023.11.15.155 E027.46.11.728
S023.13.37.181 E027.44.23.591
S023.13.50.219 E027.42.56.175
S023.12.21.553 E027.42.25.056
S023.12.19.541 E027.40.14.448
S023.13.20.934 E027.39.00.459
S023.12.57.686 E027.36.02.300
S023.14.59.038 E027.35.46.219
S023.15.48.365 E027.34.48.496
S023.21.05.689 E027.33.40.295
S023.23.35.748 E027.31.16.406
S023.23.31.730 E027.29.35.348
S023.22.58.074 E027.26.13.876
S023.23.33.793 E027.26.19.358
S023.25.22.684 E027.25.28.231
S023.25.07.596 E027.24.21.389
S023.23.36.306 E027.24.21.161
S023.23.46.785 E027.22.58.072
S023.25.37.647 E027.22.38.326
S023.25.44.172 E027.20.57.588
S023.24.13.638 E027.21.00.669
S023.24.17.321 E027.20.54.090
S023.24.39.624 E027.19.14.594
S023.26.33.046 E027.18.35.733
S023.27.48.558 E027.17.48.849
S023.28.11.992 E027.16.36.999
S023.28.49.003 E027.15.00.871
S023.29.42.419 E027.14.05.396
S023.28.59.236 E027.13.37.437
S023.29.14.865 E027.12.44.453
S023.30.12.803 E027.12.15.972
S023.30.14.036 E027.12.13.768
S023.31.31.150 E027.12.45.895
S023.31.47.970 E027.11.50.796
S023.31.21.367 E027.10.48.358
S023.32.00.321 E027.10.13.664
S023.30.39.953 E027.08.41.935
S023.31.11.971 E027.07.59.632
S023.33.43.858 E027.09.03.192
S023.34.24.298 E027.08.35.646
S023.33.56.573 E027.07.35.278
S023.34.12.956 E027.06.30.780
S023.35.38.244 E027.06.32.898
S023.35.54.299 E027.05.04.104
S023.36.47.261 E027.04.38.960
S023.36.42.911 E027.03.26.696
S023.37.29.601 E027.04.12.841
S023.39.03.293 E027.04.39.067
S023.40.00.941 E027.03.50.165
S023.40.48.087 E027.02.45.258
S023.39.08.537 E027.02.14.812
S023.38.15.153 E027.00.35.633
S023.39.19.840 E026.59.54.302
S023.41.23.805 E027.00.11.130
S023.41.49.980 E026.58.48.975
S023.42.45.798 E026.58.38.286
S023.45.46.079 E026.57.57.139
S023.47.46.555 E026.57.38.935
S023.49.45.352 E026.57.27.364
S023.50.54.335 E026.56.33.360
S023.51.02.903 E026.56.33.042
S023.51.47.785 E026.56.02.466
S023.52.26.847 E026.56.53.149
S023.57.15.994 E026.55.47.692
S024.00.19.944 E026.54.44.854
S024.01.22.783 E026.54.53.471
S024.02.48.148 E026.53.55.181
S024.04.03.604 E026.53.29.916
S024.05.25.836 E026.52.57.207
S024.06.34.970 E026.51.57.543
S024.07.58.825 E026.52.11.803
S024.08.37.253 E026.52.07.412
S024.09.38.965 E026.52.31.026
S024.10.31.061 E026.52.12.499
S024.11.42.078 E026.52.26.337
S024.13.21.588 E026.52.28.912
S024.14.57.523 E026.52.01.958
S024.16.02.720 E026.50.52.588
S024.16.43.419 E026.49.18.750
S024.18.06.559 E026.47.33.325
S024.17.56.191 E026.45.56.381
S024.18.22.961 E026.43.52.265
S024.18.26.627 E026.43.45.617
S024.19.19.220 E026.43.10.682
S024.19.21.260 E026.43.12.017
S024.20.09.563 E026.41.34.091
S024.20.53.009 E026.40.20.101
S024.22.18.448 E026.40.00.994
S024.22.52.913 E026.38.53.260
S024.24.08.964 E026.36.29.574
S024.25.23.455 E026.34.49.717
S024.26.58.425 E026.33.38.352
S024.27.26.971 E026.32.56.517
S024.28.28.181 E026.31.35.528
S024.28.29.401 E026.31.33.305
S024.29.31.820 E026.30.40.380
S024.31.03.585 E026.30.09.737
S024.32.40.066 E026.29.30.280
S024.32.52.215 E026.29.08.099
S024.33.59.995 E026.28.25.151
S024.36.02.626 E026.27.42.350
S024.36.39.766 E026.26.54.546
S024.36.54.669 E026.25.52.046
S024.37.26.959 E026.25.13.115
S024.38.16.383 E026.25.09.437
S024.38.54.669 E026.24.40.011
S024.38.25.444 E026.23.26.760
S024.43.10.278 E026.00.37.858
S024.43.46.316 E025.59.35.692
S024.44.47.147 E025.57.43.736
S024.44.35.671 E025.55.10.129
S024.44.54.870 E025.54.15.998
S024.45.13.629 E025.50.56.674
S024.46.04.700 E025.50.49.718
S024.47.20.462 E025.50.44.548
S024.48.43.016 E025.51.52.949
S024.49.35.061 E025.51.46.846
S024.50.27.210 E025.52.31.668
S024.50.59.731 E025.52.48.915
S024.51.40.830 E025.53.07.420
S024.51.46.027 E025.53.08.699
S024.52.50.920 E025.53.30.065
S024.53.26.588 E025.52.58.914
S024.54.47.109 E025.52.53.444
S024.55.10.108 E025.51.38.179
S024.56.44.172 E025.50.56.583
S025.02.03.929 E025.49.17.265
S025.07.16.801 E025.46.42.918
S025.16.04.738 E025.42.35.267
S025.30.07.764 E025.38.19.120
